papers,refs,st-gp,t-a,label
CostaBockEmmart2021,[CBE*21],-3,-5,explore
BladinAxelssonBroberg2018,[BAB*18],-3,-2.5,explore
Taylor2014b,[Tay14],-2,-3,explore
Muna2017,[Mun17],-1,-2,explore
ArgudoFernandezPuertasRuiz2017,[AFPR*17],2,5,explore
LucianiCherinkaOliphant2014,[LCO*14],3,-4,explore
BainesGiordanoRacero2016,[BGR*16],4,4.5,explore
Taylor2017b,[Tay17a],4,4,explore
BreddelsVeljanoski2018,[BV18],4,3.5,explore
SagristaJordanMuller2019,[SJMS19],5,-4.5,explore
BockAxelssonCosta2020,[BAC*20],5,-2.5,explore
TurkSmithOishi2010,[TSO*11],5,-1,explore
VohlBarnesFluke2016,[VBF*16],5,3,explore
PomaredeCourtoisHoffman2017,[PCHT17],4,3,explore
ScherzingerBrixDrees2017,[SBD*17],5,3.5,explore
BurgerStassunPepper2013,[BSP*13],4,5,explore
KaehlerHahnAbel2012,[KHA12],-5,-4.5,feature
RavouxArmengaudWalther2020,[RAW*20],-5,-4,feature
KhanHuertaWang2019,[KHW*19],-5,4,feature
SousbiePichonKawahara2011,[SPK11],-5,4.5,feature
ShivashankarPranavNatarajan2016,[SPN*16],-4,-5,feature
CiurloCampbellMorris2020,[CCM*20],-4,3,feature
CampbellKjarAmico2012,[CKA12],-4,4,feature
Sousbie2011,[Sou11],-3,-4.5,feature
NtampakaZuHoneEisenstein2019,[NZE*19],-3,3.5,feature
Sawada_TimeTubes_2018,[SUB*20],-2,-5,feature
ShanXieLi2014,[SXL*14],-2,-3.5,feature
PrestonGhodsXie2016,[PGX*16],2,3,feature
BurchettAbramovOtto2019,[BAO*19],2,4,feature
SteffenKoningWenger2011,[SKW*11],3,3,object
WengerAmentGuthe2012,[WAG*12],-4,-4.5,object
WengerLorenzMagnor2013,[WLM13],-4,-3.5,object
HasenbergerAlves2020,[HA20],3,-4.5,object
GrosschedlAlvesMeingast2018,[GAM*18],-5,-3,object
SkowronSkowronMroz2019,[SSM*19],3,4.5,object
VogtDopita2010,[VD10],-5,-2,object
ElekBurchettProchaska2021,[EBPF21],-4,-3,object
BockPembrokeMays2015,[BPM*15],-5,-2.5,object
OrlandoPillitteriBocchino2019,[OPB*19],2,3.5,outreach
BockHansenYnnerman2018,[BHY18],5,-3.5,outreach
ArcandJiangPrice2018,[AJP*18],-5,3.5,outreach
Madura2017,[Mad17],-5,-3.5,outreach
DiemerFacio2017,[DF17],-5,-5,outreach
DykesHassanGheller2018,[DHG*18],3,4,outreach
VogtShingles2013,[VS13],3,4.5,outreach
UsudaSatoTsuzukiYamaoka2018,[USTY18],3,5,outreach
VogtSeitenzahlDopita2017,[VSDR17],-5,5,wrangle
BorkiewiczNaimanLai2019,[BNL19],-4,-4,wrangle
Garate2017,[Gar17],-3,-4,wrangle
Kent2017,[Ken17],-3,2,wrangle
ComriePiriskaSimmonds2019,[CPST20],-3,-3.5,wrangle
Taylor2017,[Tay17b],-2,-4.5,wrangle
VogtWagner2011,[VW11],-2,-4,wrangle
AxelssonCostaSilva2017,[ACS*17],4,-5,explore
VogtOwenVerdesMontenegro2016,[VOVMB16],5,-4,wrangle
Taylor2015,[Tay15],5,2,wrangle
Naiman2016,[Nai16],5,4,wrangle
NaimanBorkiewiczChristensen2017,[NBC17],5,4.5,wrangle
BerrimanGood2017,[BG17],5,2.5,wrangle
Kent2013,[Ken13],5,5,wrangle
WoodringHeitmannAhrens2011,[WHA*11],3,3.5,wrangle
ott2020carta,[OC20],3,2.5,wrangle
VerbraeckEisemann2021,[VE21],-5,-5,wrangle
KlashedHemingssonEmmart2010,[KHE*10],4,2.5,explore
hazarika2015visualizing,[HWMB15],2,-3,explore
almryde2015halos,[AF15],-4,3.5,explore
hanula2015cavern,[HPU*15],2,4.5,explore
ZhangSunTang2011,[ZST11],-5,-4,explore
PillepichSpringelNelson2017,[PSD17],2,-2,feature
XuNakayamaWu2016,[XNW*16],2,2,feature
TricocheSchleiHowell2021,[TSH21],-3,-4.5,feature
RosenSethMills2019,[RSM*19],2,-5,feature
OrtnerWalchNowak2020,[OWN*20],2,-3.5,object
FahertySubbaRaoWyatt2019,[FSW*19],5,-3,outreach
RosenfieldFayGilchrist2018,[RFG*18],5,5,outreach
